citation_key,year,venue,dataset,night_hours_excluded,baseline_used,skill_score_reported,weather_source,split_type,n_seeds,variance_reported,code_available,key_claim,notes,evidence_level,leakage_flag
chandel2023dlreview,2023,Solar Compass 8:100061,not_stated,not_stated,none,no,not_stated,not_stated,not_stated,no,not_stated,"REVIEW paper (not empirical): synthesizes ~60 PV-forecasting DL papers; concludes LSTM beats other DL archs across horizons, GRU better for small data; proposes but never tests a 'DLNM' architecture.","REVIEW PAPER, not an original study - has no dataset/split/model of its own. All not_stated/none codings reflect absence of an empirical study, not under-reporting. Recommend counting separately from the 21 empirical papers in this batch.",quoted,none
elmousalami2025saispf,2025,Buildings 15:2785 (MDPI),"Benban Solar Park (Egypt) + Sakaka Solar Power Plant (Saudi Arabia), utility-scale, high-res met+ops data",not_stated,other_ML,no,measured,not_stated,not_stated,no,not_stated,"CNN-LSTM beats RF/SVM/GBM/LSTM/CNN/ARIMA on Benban (MAPE=2.04%,RMSE=184,MAE=252,R2=.99) and Sakaka (MAPE=2.00%,RMSE=190,MAE=255,R2=.98), 70/15/15 split (ordering not stated); horizon never stated.",Split uses BOTH a 70/15/15 partition AND k-fold CV on training set - ordering of neither stated (leakage-risk if plain random k-fold on time series). Both sites show MAE>RMSE (impossible if genuine; flagged).,quoted,none
bhutta2024hcrnhcln,2024,Scientific Reports 14:17101,"Real-time solar plant data, only 3 params: power (MWh), plane-of-array irradiance (POA), Performance Ratio",not_stated,own_components,no,measured,not_stated,not_stated,no,not_stated,"HCRN/HCGRN/HCLN (hybrid CNN-RNN/GRU/LSTM) beat their own unmodified base architectures on solar plant data, 80/20 split (ordering not stated); horizon never stated.","MAJOR: Performance Ratio (PR) is 1 of only 3 input features - PR is algebraically derived from power output, the exact target being predicted. This project's own loader.py drops PR as a leakage trap; unaddressed here.",quoted,documented
ye2026distributedcnnlstm,2026,International Journal of Low-Carbon Technologies 21:1-8,"DKASC Alice Springs (SAME SITE as this project), Jun-Aug 2017, 15-min, 8821 records",not_stated,own_components,no,measured,not_stated,not_stated,no,not_stated,"2D-CNN-LSTM-ISSA lowest MAE/RMSE among CNN/CNN-LSTM/+SSA/+ISSA variants on DKASC Alice Springs 2017 data, 8:2 split (ordering not stated); shrinking training set hurts accuracy across all models.","SAME SITE (Alice Springs/DKASC) as this project's own dataset, different years (2017 vs 2011-2015). No data-availability statement at all. MAE<=RMSE holds (unlike 2 other papers this batch).",quoted,none
hussain2022hybridgrucnn,2022,Complexity (Hindawi) 2022:7040601,"4x DKASC arrays (AS-1A,AS-1B,AS-2Eco,Yulara-SITE-3A), Alice Springs+Yulara Australia, 5-min res",not_stated,other_ML,no,measured,not_stated,not_stated,no,yes,"Hybrid GRU-CNN (temporal-then-spatial) beats LSTM-CNN and naive-SVR on 4 DKASC datasets for hour-ahead forecasting, 70/20/10 split (ordering not stated); lowest RMSE/MSE/MAE/MBE across all 4.","SAME DKASC family, 4 arrays incl. Yulara. FIRST genuine code_available=yes (GitHub link) in batch. Horizon inconsistency: text says 'hour-ahead', Fig.3 caption says 'two days ahead'. 3rd instance of MAE>RMSE pattern across batch.",quoted,none
ma2024cnnlstmspatiotemporal,2024,"Engineering Reports (Wiley), doi:10.1002/eng2.13088","6 neighboring PV plants, Lingchuan Jincheng Shanxi China, 5-min, Jun2021-Aug2022, daytime 8am-8pm, n=9375",yes,own_components,no,measured,not_stated,not_stated,no,not_stated,"SENet-weighted CNN+LSTM+CNN-LSTM ensemble cuts RMSE 13.5%/6.9%/5.1% vs individual CNN/LSTM/CNN-LSTM at 5-min interval, 9:1 split (ordering not stated); also reports 10-min horizon and sunny/rainy/cloudy stratification.","Cleanest, most explicit night-exclusion quote in batch (stated rationale + exact clock hours). Sky-condition stratification parallels this project's own RQ3. Code 'available on request' = not_stated.",quoted,none
vennila2022solarensemble,2022,International Journal of Photoenergy (Hindawi) 2022:7797488,"10MW Poly-Si+thin-film, 5-min res, SITE NEVER NAMED (resembles DKASC tech mix, not confirmed)",not_stated,none,no,not_stated,not_stated,not_stated,no,not_stated,"Unnamed ensemble ML model beats unnamed 'conventional individual models'; clear-sky beats overcast/partly-cloudy, partly-cloudy worst. No named models, no split ratio, no horizon, no site anywhere.","Thinnest paper in batch: no split ratio at all (unique among batch), no comparator names. Partly-cloudy-is-worst observation qualitatively echoes this project's own Finding 12B (RQ3), worth citing.",quoted,none
ahsan2024cnnlstmsmartgrid,2024,"JESTT 1(2), doi:10.48112/jestt.v1i2c.5","Unnamed large-scale solar facility, DAILY resolution (~365 samples/yr), 2 metrics: daily power+radiance",not_stated,other_ML,no,measured,not_stated,not_stated,no,not_stated,"CNN-LSTM beats LSTM and RF on daily power (MAE=0.1335,MSE=0.0497) and daily radiance forecasting; 80/20 (10mo/2mo) split, ordering not stated; horizon implicitly 1 day.","DAILY resolution (not hourly) - night-hour question moot at this granularity. Cited ref uses 23.40kW Australian plant - matches DKASC-AS-1B capacity in hussain2022 (unconfirmed link, citation only).",quoted,none
elizabethmichael2022cnnstackedlstm,2022,Energies (MDPI) 15:2150,"Sweihan PV plant, Abu Dhabi UAE (GHI+POA irradiance, not power)",not_stated,own_components,no,measured,not_stated,not_stated,no,not_stated,"Multi-step CNN-stacked-LSTM beats plain CNN/LSTM on Sweihan plant: GHI RMSE=0.36/R2=0.98, POA RMSE=61.24/R2=0.96, 70/30 split (ordering not stated); horizon only 'short-term'.","Persistence mentioned only as literature taxonomy, not own baseline. No data-availability statement at all. Claims beating 'published works in literature' w/o normalization method described.",quoted,none
lim2022cnnlstmsunnycloudy,2022,Energies (MDPI) 15:8233,"PV plant, Busan Korea, Sep2019-Jul2021, KMA sunny/cloudy classification",not_stated,own_components,no,none,not_stated,not_stated,no,not_stated,"CNN classifies sunny/cloudy (KMA steps), routes to 1 of 2 LSTM sub-models: MAPE=4.58/RMSE=43.87 sunny, MAPE=7.21/RMSE=9.09 cloudy (R2=0.99 both); split ratio never stated.","weather_source=none: KMA condition only LABELS which LSTM to use, model 'only uses power generation data' - exact match to rules' worked exception. Abstract cloudy MAPE=7.06 vs Table2's 7.21 mismatch.",quoted,none
boucetta2024vmdcnnlstm,2024,Energies (MDPI) 17:1781,"Boussada PV plant, Algeria, 10MW, 2019-2020, 15-min, n=69195",not_stated,own_components,no,measured,not_stated,not_stated,no,not_stated,VMD-CNN-LSTM beats VMD-CNN/VMD-LSTM/CNN-LSTM ablations on RMSE/MAE/NRMSE/R2 across 15/30/60-min horizons at Boussada plant; split ratio never stated anywhere.,3rd paper in batch with ZERO split ratio stated at all. Reports 3 horizons separately (good practice) plus model complexity. PDF had embedded null bytes breaking naive grep - stripped before search.,quoted,none
xue2024multiscalecnnlstm,2024,Energies (MDPI) 17:3877,"6 PV stations (A-F), Shanxi China, 8 met params, Nov2022-Nov2023, daytime 7am-7pm, n=9000/station",yes,own_components,no,measured,not_stated,not_stated,no,not_stated,"Multiscale/cascade CNN-LSTM (fused w/ best-correlated neighbor station) beats CNN/LSTM/CNN-LSTM on RMSE/MAE, 6 Shanxi stations, 9:1 split (ordering not stated).","SAME research group/site as this batch's ma2024cnnlstmspatiotemporal (shared author Junwei Ma, same institution, same 6-station A-F Shanxi setup, different dates) - do not double-count in survey stats.",quoted,none
alali2023cnnlstmtransformer,2023,Mathematics (MDPI) 11:676,"Fingrid open dataset, Finland, hourly solar power plant data",yes,own_components,no,measured,not_stated,not_stated,no,not_stated,"CNN-LSTM-Transformer beats LSTM-CNN and other component combos on Fingrid (Finland) hourly data, 60/10/30 split (ordering not stated); horizon never stated.","LOW-CONFIDENCE (garbled p.13 extraction, verify against PDF): paper appears to exclude BOTH night hours AND entire overcast days from evaluation - the latter drops a whole difficulty class, not just non-generating hours.",quoted,none
ibrahim2024cnnlstmautoencoder,2024,Electrical Engineering (Springer) 106:4239-4255,"Southern UK solar farm, power+co-located weather, 70/30 split (27840/9360 samples)",no,own_components,no,reanalysis,not_stated,not_stated,no,not_stated,CNN-LSTM-autoencoder improves RMSE/MAE 5-25% vs LSTM/GRU/CNN-LSTM/CNN-GRU at 0.5h/1h/2h horizons on UK solar farm; night included in eval; tested with/without weather data.,"Explicit affirmative evidence night hours ARE included (discusses near-zero night predictions in results). Genuine public data URL (login-gated, not 'on request') - real positive, rare in batch.",quoted,none
salman2024cnnlstmtf,2024,Neural Computing and Applications (Springer) 36:9095-9112,"Mendeley Data repository (ref [32]), 4yrs hourly, authors in Northern Cyprus",not_stated,own_components,no,not_stated,not_stated,not_stated,no,not_stated,"CNN-LSTM-TF (Nadam) best of all CNN/LSTM/TF combos, MAE=0.551%, vs worst TF-LSTM MAE=16.17%; 24h-ahead, 80/5/15 split (ordering not stated); also varies 5 optimizers.","Tests ALL combinations of CNN/LSTM/TF (most thorough ablation in batch) x 5 optimizers. Persistence mention is Related Work (Limburg study), not own baseline - verified. Named public data repo (Mendeley).",quoted,none
alharkan2023dsclanet,2023,Sensors (MDPI) 23:945,"DKASC Alice Springs, 3 arrays: Trina 1A(10.5kW), Trina 1B(23.4kW), Eco2(26.5kW)",not_stated,own_components,no,measured,not_stated,not_stated,no,not_stated,"Dual-stream CNN-LSTM+attention (DSCLANet) beats LSTM/CNN/GRU/CNNGRU/CNNLSTM/DCNN-BRLSTM on all 3 DKASC arrays; 1h-ahead from 2h input, 70/20/10 split (ordering not stated).",SAME SITE as this project (Alice Springs); Trina 1B=23.4kW matches hussain2022's DKASC-AS-1B exactly - confirmed independent overlap between 2 survey papers on the same physical array.,quoted,none
guo2024qrkddn,2024,Sensors (MDPI) 24:1593,"DKASC Hanwha Solar array, Alice Springs, full year 2020, daytime 6:00-19:00 only, features: temperature, RH, radiation, rainfall, PV power",yes,own_components,no,measured,rolling,not_stated,no,not_stated,"For PV power prediction at DKASC Hanwha Solar array (full year 2020, daytime 6:00-19:00, 70/30 rolling CV split), QRKDDN (Pearson feature selection + GMM day-clustering + CNN-BiGRU-attention with quantile regression + kernel density estimation) outperforms QR-GRU/QR-BiGRU/QR-BiGRU-Attention/QR-CNN-BiGRU/QR-CNN-BiLSTM-Attention on point, interval, and probabilistic metrics; on a rainy case study CNN layer cuts RMSE 24.29%, improves R2 5.11%, PICP +6.51%, PINAW -21.17% vs QR-BiGRU-Attention.",SAME DKASC site as this project (6th DKASC paper in batch). Only paper to explicitly name rolling CV. Reports genuine CRPS/PICP/PINAW probabilistic metrics. Names actual public DKASC portal URL.,quoted,none
